# ts,sessionnum,HR,BR,ST,QTc,Cadence,Shock,QOS,FF QOS,Afib,Active Calories,Stress,Power
0,0,29,8,0,387,75,102,85,38,1,0,3,125952
20000,1,60,24,0,428,0,0,50,65,1,0,0,164864
40000,2,60,22,0,430,27,2,50,50,6,0,0,138240
61000,3,63,14,20,436,47,2,50,51,6,0,0,130048
81000,4,62,13,50,427,0,0,95,85,1,0,10,97280
101000,5,59,11,0,358,0,0,95,52,1,0,10,109568
121000,6,60,13,0,273,0,0,95,72,1,0,11,95232
141000,7,59,15,20,398,0,0,95,75,1,0,12,101376
161000,8,58,16,0,428,48,112,95,69,6,0,13,140288
181000,9,64,16,0,401,108,202,95,75,6,0,13,209920
201000,10,71,16,0,434,13,4,95,66,1,0,21,161792
221000,11,71,16,70,436,0,0,95,73,1,0,44,128000
241000,12,73,16,70,429,61,26,95,72,1,0,38,172032
262000,13,72,16,0,425,111,8,95,65,1,0,41,140288
282000,14,68,16,0,398,68,54,95,63,1,0,31,160768
302000,15,72,13,80,408,37,30,95,79,1,0,38,140288
322000,16,75,15,0,422,19,8,95,63,1,0,36,184320
342000,17,75,13,40,437,13,114,95,77,1,0,37,145408
362000,18,74,14,50,419,50,168,95,75,1,0,36,151552
382000,19,72,17,70,429,68,52,95,77,6,0,31,151552
402000,20,75,20,40,460,68,44,95,91,6,0,31,169984
422000,21,72,17,0,371,65,46,95,64,6,0,34,172032
442000,22,74,18,0,403,29,52,95,64,1,0,34,191488
463000,23,76,18,0,432,28,104,95,63,6,0,41,152576
483000,24,74,13,50,442,19,10,95,72,6,0,40,120832
503000,25,72,14,60,423,0,0,95,71,6,0,36,147456
523000,26,68,18,70,415,90,56,95,75,6,0,28,115712
543000,27,63,18,50,393,87,64,95,85,6,0,25,112640
563000,28,63,21,100,416,90,64,95,72,1,0,21,142336
583000,29,66,18,80,422,0,0,95,73,6,0,29,123904
603000,30,75,19,0,406,0,0,95,70,6,0,33,122880
623000,31,76,17,0,464,0,0,95,61,6,0,33,100352
643000,32,70,15,30,430,100,58,95,83,1,0,37,103424
664000,33,64,14,60,418,105,74,95,72,1,0,29,118784
684000,34,63,14,20,413,103,16,95,80,6,0,24,104448
704000,35,64,14,80,417,99,70,95,75,6,0,21,114688
724000,36,65,16,0,418,0,0,95,69,6,0,20,115712
744000,37,68,13,70,415,0,0,95,79,6,0,20,118784
764000,38,67,17,30,410,0,0,95,77,1,0,27,121856
784000,39,68,20,100,435,0,0,95,72,1,0,39,105472
804000,40,70,22,20,416,99,20,95,85,1,0,36,103424
824000,41,70,18,20,412,79,40,95,80,1,0,35,113664
844000,42,60,20,30,408,99,62,95,86,1,0,18,110592
865000,43,61,17,50,412,88,144,95,82,1,0,24,120832
885000,44,70,18,20,432,0,0,95,85,1,0,26,116736
905000,45,69,18,60,406,0,0,95,82,1,0,30,99328
925000,46,69,17,40,422,0,0,95,85,1,0,20,115712
945000,47,70,17,30,430,92,20,95,90,6,0,20,114688
965000,48,62,17,40,408,51,50,95,85,6,0,24,116736
985000,49,64,15,60,412,81,68,95,85,1,0,25,104448
1005000,50,60,16,40,420,85,20,95,76,1,0,21,105472
1025000,51,60,16,80,425,0,0,95,82,1,0,19,111616
1045000,52,65,17,60,420,81,14,95,81,1,0,17,99328
1066000,53,69,14,60,422,17,82,95,82,1,0,22,114688
1086000,54,63,12,80,400,27,0,95,76,1,0,27,115712
1106000,55,72,15,130,410,0,0,95,76,6,0,31,119808
1126000,56,74,17,90,429,81,36,95,84,6,0,34,128000
1146000,57,55,14,60,384,71,98,95,84,6,0,15,114688
1166000,58,57,15,50,398,89,28,95,83,1,0,15,111616
1186000,59,59,15,50,408,91,50,95,94,1,0,15,112640
