# ts,sessionnum,Breath Rate,Heart Rate,ST Change,Cadence,Body Power,Body Shock,Altitude,UGE,HRV,PEP,LVET,QOS,Device QTc,Device BR,Device HR,Device ST,Device Cadence,Device Shock,FF QOS,Device Afib,Device Calories,Device Stress,Device Power,ACCY values
0,0,4,60,68,0,0,0,12746,0,82,51,0,85,387,8,29,0,75,102,38,1,0,3,125952,-902
20000,1,4,66,-36,0,0,0,10717,0,99,48,0,50,428,24,60,0,0,0,65,1,0,0,164864,-382
40000,2,0,0,0,0,0,0,9535,0,99,0,0,50,430,22,60,0,27,2,50,6,0,0,138240,-212
61000,3,4,68,-35,0,0,0,10346,0,99,46,0,50,436,14,63,20,47,2,51,6,0,0,130048,-469
81000,4,4,60,53,0,0,0,13376,0,60,47,0,95,427,13,62,50,0,0,85,1,0,10,97280,73
101000,5,0,0,0,0,0,0,15306,0,60,0,0,95,358,11,59,0,0,0,52,1,0,10,109568,43
121000,6,11,57,-107,0,0,0,15491,0,35,33,0,95,273,13,60,0,0,0,72,1,0,11,95232,22
141000,7,0,58,67,0,0,0,15910,0,51,31,0,95,398,15,59,20,0,0,75,1,0,12,101376,-30
161000,8,16,71,27,0,0,0,9185,0,51,44,0,95,428,16,58,0,48,112,69,6,0,13,140288,-852
181000,9,9,62,38,0,0,0,6541,0,51,49,0,95,401,16,64,0,108,202,75,6,0,13,209920,-874
201000,10,0,0,0,0,0,0,8503,0,35,0,0,95,434,16,71,0,13,4,66,1,0,21,161792,-862
221000,11,3,71,85,0,0,0,13282,0,27,47,0,95,436,16,71,70,0,0,73,1,0,44,128000,-928
241000,12,3,73,14,0,0,0,8436,0,20,49,0,95,429,16,73,70,61,26,72,1,0,38,172032,-823
262000,13,7,69,67,0,0,0,10520,0,14,46,0,95,425,16,72,0,111,8,65,1,0,41,140288,-873
282000,14,3,71,-78,0,0,0,7579,0,23,50,0,95,398,16,68,0,68,54,63,1,0,31,160768,-880
302000,15,9,71,31,0,0,0,9669,0,23,50,0,95,408,13,72,80,37,30,79,1,0,38,140288,-925
322000,16,3,73,60,0,0,0,7942,0,20,48,0,95,422,15,75,0,19,8,63,1,0,36,184320,-927
342000,17,9,73,31,0,0,0,9560,0,16,48,0,95,437,13,75,40,13,114,77,1,0,37,145408,-909
362000,18,4,71,64,0,0,0,9003,0,16,48,0,95,419,14,74,50,50,168,75,1,0,36,151552,-890
382000,19,6,71,36,0,0,0,9371,0,24,48,0,95,429,17,72,70,68,52,77,6,0,31,151552,-866
402000,20,7,73,73,0,0,0,8043,0,25,49,0,95,460,20,75,40,68,44,91,6,0,31,169984,-916
422000,21,4,74,29,0,0,0,8240,0,18,53,0,95,371,17,72,0,65,46,64,6,0,34,172032,-903
442000,22,0,0,0,0,0,0,6950,0,18,0,0,95,403,18,74,0,29,52,64,1,0,34,191488,-915
463000,23,7,71,19,0,0,0,9355,0,18,50,0,95,432,18,76,0,28,104,63,6,0,41,152576,-912
483000,24,11,73,-62,0,0,0,11590,0,18,48,0,95,442,13,74,50,19,10,72,6,0,40,120832,-932
503000,25,4,68,17,0,0,0,10591,0,20,50,0,95,423,14,72,60,0,0,71,6,0,36,147456,-904
523000,26,4,64,25,0,0,0,10305,0,28,49,0,95,415,18,68,70,90,56,75,6,0,28,115712,-941
543000,27,10,61,25,0,0,0,11184,0,30,48,0,95,393,18,63,50,87,64,85,6,0,25,112640,-946
563000,28,3,65,40,0,0,0,10356,0,33,49,0,95,416,21,63,100,90,64,72,1,0,21,142336,-954
583000,29,3,66,76,0,0,0,12417,0,31,45,0,95,422,18,66,80,0,0,73,6,0,29,123904,-962
603000,30,3,76,8,0,0,0,12753,0,22,46,0,95,406,19,75,0,0,0,70,6,0,33,122880,-967
623000,31,4,71,-131,0,0,0,16133,0,22,50,0,95,464,17,76,0,0,0,61,6,0,33,100352,-963
643000,32,8,69,-55,0,0,0,10798,0,19,45,0,95,430,15,70,30,100,58,83,1,0,37,103424,-941
664000,33,3,65,23,0,0,0,11497,0,20,48,0,95,418,14,64,60,105,74,72,1,0,29,118784,-955
684000,34,3,64,-38,0,0,0,10322,0,30,47,0,95,413,14,63,20,103,16,80,6,0,24,104448,-950
704000,35,3,62,22,0,0,0,13692,0,38,49,0,95,417,14,64,80,99,70,75,6,0,21,114688,-957
724000,36,7,67,7,0,0,0,14404,0,43,49,0,95,418,16,65,0,0,0,69,6,0,20,115712,-960
744000,37,11,67,44,0,0,0,13496,0,33,47,0,95,415,13,68,70,0,0,79,6,0,20,118784,-947
764000,38,3,68,-35,0,0,0,14718,0,13,46,0,95,410,17,67,30,0,0,77,1,0,27,121856,-931
784000,39,3,68,-25,0,0,0,16022,0,12,46,0,95,435,20,68,100,0,0,72,1,0,39,105472,-954
804000,40,3,70,-19,0,0,0,11701,0,19,46,0,95,416,22,70,20,99,20,85,1,0,36,103424,-955
824000,41,0,0,0,0,0,0,13540,0,30,0,0,95,412,18,70,20,79,40,80,1,0,35,113664,-868
844000,42,10,62,-10,0,0,0,11517,0,41,45,0,95,408,20,60,30,99,62,86,1,0,18,110592,-948
865000,43,18,61,2,0,0,0,13944,0,36,49,0,95,412,17,61,50,88,144,82,1,0,24,120832,-957
885000,44,6,70,-11,0,0,0,12072,0,24,49,0,95,432,18,70,20,0,0,85,1,0,26,116736,-952
905000,45,4,65,-10,0,0,0,16966,0,26,47,0,95,406,18,69,60,0,0,82,1,0,30,99328,-927
925000,46,3,67,-1,0,0,0,13974,0,39,47,0,95,422,17,69,40,0,0,85,1,0,20,115712,-917
945000,47,10,69,9,0,0,0,12287,0,39,46,0,95,430,17,70,30,92,20,90,6,0,20,114688,-942
965000,48,3,62,11,0,0,0,10825,0,29,47,0,95,408,17,62,40,51,50,85,6,0,24,116736,-871
985000,49,3,60,27,0,0,0,11517,0,26,47,0,95,412,15,64,60,81,68,85,1,0,25,104448,-935
1005000,50,4,61,-16,0,0,0,11516,0,32,48,0,95,420,16,60,40,85,20,76,1,0,21,105472,-937
1025000,51,3,65,4,0,0,0,14024,0,36,46,0,95,425,16,60,80,0,0,82,1,0,19,111616,-885
1045000,52,4,68,5,0,0,0,11461,0,36,47,0,95,420,17,65,60,81,14,81,1,0,17,99328,-917
1066000,53,3,65,12,0,0,0,12050,0,40,48,0,95,422,14,69,60,17,82,82,1,0,22,114688,-935
1086000,54,3,63,36,0,0,0,12660,0,23,47,0,95,400,12,63,80,27,0,76,1,0,27,115712,-616
1106000,55,3,73,34,0,0,0,12699,0,19,47,0,95,410,15,72,130,0,0,76,6,0,31,119808,-876
1126000,56,0,0,0,0,0,0,9891,0,22,0,0,95,429,17,74,90,81,36,84,6,0,34,128000,-940
1146000,57,17,55,15,0,0,0,12864,0,38,49,0,95,384,14,55,60,71,98,84,6,0,15,114688,-936
1166000,58,18,57,-14,0,0,0,10103,0,44,50,0,95,398,15,57,50,89,28,83,1,0,15,111616,-936
1186000,59,13,60,9,0,0,0,11104,0,42,48,0,95,408,15,59,50,91,50,94,1,0,15,112640,-949
