# ts,sessionnum,HR,BR,ST,QTc,Cadence,Shock,QOS,FF QOS,Afib,Active Calories,Stress,Power
0,0,64,12,10,435,107,34,95,89,1,0,25,130048
20000,1,63,12,90,444,104,12,95,91,6,0,26,125952
40000,2,59,23,70,431,110,4,95,88,6,0,24,98304
61000,3,59,16,60,444,0,0,95,92,1,0,20,96256
81000,4,56,15,70,422,0,0,95,92,1,0,20,107520
101000,5,54,12,70,355,0,0,95,92,1,0,16,88064
121000,6,59,13,60,422,92,52,95,97,1,0,15,120832
141000,7,55,12,50,415,0,0,95,91,6,0,15,112640
161000,8,53,12,70,386,96,8,95,91,6,0,11,101376
181000,9,62,15,70,438,96,28,95,90,1,0,11,124928
201000,10,59,15,60,454,104,42,95,88,6,0,14,115712
221000,11,68,16,80,458,108,14,95,87,6,0,15,129024
241000,12,69,18,70,458,103,44,95,87,6,0,21,108544
262000,13,68,15,60,430,85,30,95,92,6,0,29,129024
282000,14,62,14,80,438,197,22,95,87,6,0,22,86016
302000,15,53,16,50,454,0,0,95,90,1,0,10,98304
322000,16,67,14,60,438,0,0,95,91,1,0,11,120832
342000,17,61,14,70,424,76,8,95,85,1,0,15,119808
362000,18,60,17,80,419,105,42,95,87,6,0,13,130048
382000,19,63,16,60,435,80,8,95,88,6,0,12,121856
402000,20,63,17,80,415,101,10,95,80,6,0,14,116736
422000,21,63,16,30,435,75,16,95,89,6,0,21,116736
442000,22,62,16,40,425,0,0,95,92,6,0,10,106496
463000,23,61,14,60,420,26,10,95,91,6,0,9,110592
483000,24,61,17,80,405,98,94,95,86,6,0,23,118784
503000,25,65,13,30,425,97,22,95,80,6,0,23,106496
523000,26,59,13,60,417,96,36,95,89,6,0,13,115712
543000,27,62,12,80,416,99,24,95,87,6,0,6,122880
563000,28,59,15,80,426,79,40,95,77,6,0,6,116736
583000,29,61,15,70,509,112,22,95,71,6,0,8,138240
603000,30,69,15,0,438,98,16,95,70,1,0,8,120832
623000,31,69,15,50,453,0,0,95,93,1,0,25,100352
643000,32,68,17,60,438,0,0,95,91,1,0,31,109568
664000,33,68,16,70,411,59,252,95,90,6,0,17,103424
684000,34,60,14,60,416,0,0,95,90,1,0,15,106496
704000,35,57,12,60,412,89,104,95,91,1,0,17,106496
724000,36,62,15,80,417,111,36,95,79,1,0,14,111616
744000,37,53,14,30,410,0,0,95,89,1,0,14,128000
764000,38,63,14,80,413,108,22,95,86,1,0,6,131072
784000,39,66,15,80,441,107,32,95,87,6,0,16,118784
804000,40,63,15,60,432,21,78,95,92,1,0,28,103424
824000,41,65,15,80,421,0,0,95,91,1,0,23,122880
844000,42,69,15,80,408,73,32,95,91,6,0,26,114688
865000,43,62,15,50,422,0,0,95,87,1,0,18,114688
885000,44,56,13,70,401,93,10,95,89,1,0,17,109568
905000,45,61,12,50,409,0,0,95,92,1,0,11,97280
925000,46,54,13,60,357,0,0,95,92,1,0,9,110592
945000,47,62,17,50,436,72,62,95,85,1,0,15,137216
965000,48,66,17,40,422,107,24,95,89,6,0,17,126976
985000,49,66,16,80,455,88,4,95,88,6,0,17,114688
