# ts,sessionnum,Breath Rate,Heart Rate,ST Change,Cadence,Body Power,Body Shock,Altitude,UGE,HRV,PEP,LVET,QOS,Device QTc,Device BR,Device HR,Device ST,Device Cadence,Device Shock,FF QOS,Device Afib,Device Calories,Device Stress,Device Power,ACCY values
0,0,4,64,25,0,0,0,6789,0,24,44,0,95,435,12,64,10,107,34,89,1,0,25,130048,-936
20000,1,3,63,51,0,0,0,6233,0,44,45,0,95,444,12,63,90,104,12,91,6,0,26,125952,-933
40000,2,8,57,35,0,0,0,14558,0,26,44,0,95,431,23,59,70,110,4,88,6,0,24,98304,-889
61000,3,3,60,38,0,0,0,14387,0,38,43,0,95,444,16,59,60,0,0,92,1,0,20,96256,-893
81000,4,9,54,41,0,0,0,15046,0,34,44,0,95,422,15,56,70,0,0,92,1,0,20,107520,-874
101000,5,4,56,37,0,0,0,14563,0,38,45,0,95,355,12,54,70,0,0,92,1,0,16,88064,-866
121000,6,12,59,32,0,0,0,10446,0,39,42,0,95,422,13,59,60,92,52,97,1,0,15,120832,-915
141000,7,3,54,37,0,0,0,12745,0,57,43,0,95,415,12,55,50,0,0,91,6,0,15,112640,-883
161000,8,10,55,21,0,0,0,13431,0,57,45,0,95,386,12,53,70,96,8,91,6,0,11,101376,-890
181000,9,3,59,44,0,0,0,9367,0,30,44,0,95,438,15,62,70,96,28,90,1,0,11,124928,-929
201000,10,3,64,37,0,0,0,8681,0,47,43,0,95,454,15,59,60,104,42,88,6,0,14,115712,-929
221000,11,4,69,39,0,0,0,6488,0,58,45,0,95,458,16,68,80,108,14,87,6,0,15,129024,-939
241000,12,10,70,62,0,0,0,10203,0,40,47,0,95,458,18,69,70,103,44,87,6,0,21,108544,-915
262000,13,4,63,38,0,0,0,9369,0,17,45,0,95,430,15,68,60,85,30,92,6,0,29,129024,-919
282000,14,4,61,40,0,0,0,13940,0,32,43,0,95,438,14,62,80,197,22,87,6,0,22,86016,-732
302000,15,4,64,53,0,0,0,14123,0,48,43,0,95,454,16,53,50,0,0,90,1,0,10,98304,-457
322000,16,3,64,31,0,0,0,12258,0,61,45,0,95,438,14,67,60,0,0,91,1,0,11,120832,-931
342000,17,4,60,39,0,0,0,10295,0,44,45,0,95,424,14,61,70,76,8,85,1,0,15,119808,-914
362000,18,7,63,41,0,0,0,8396,0,57,47,0,95,419,17,60,80,105,42,87,6,0,13,130048,-937
382000,19,3,62,46,0,0,0,9626,0,47,46,0,95,435,16,63,60,80,8,88,6,0,12,121856,-930
402000,20,3,62,57,0,0,0,10165,0,43,43,0,95,415,17,63,80,101,10,80,6,0,14,116736,-942
422000,21,6,64,28,0,0,0,10032,0,46,44,0,95,435,16,63,30,75,16,89,6,0,21,116736,-930
442000,22,3,61,34,0,0,0,13647,0,65,43,0,95,425,16,62,40,0,0,92,6,0,10,106496,-926
463000,23,3,59,38,0,0,0,10864,0,30,46,0,95,420,14,61,60,26,10,91,6,0,9,110592,-918
483000,24,0,0,0,0,0,0,11791,0,30,0,0,95,405,17,61,80,98,94,86,6,0,23,118784,-915
503000,25,3,60,15,0,0,0,8269,0,30,46,0,95,425,13,65,30,97,22,80,6,0,23,106496,-940
523000,26,4,58,23,0,0,0,11619,0,50,44,0,95,417,13,59,60,96,36,89,6,0,13,115712,-921
543000,27,4,59,53,0,0,0,9290,0,62,44,0,95,416,12,62,80,99,24,87,6,0,6,122880,-920
563000,28,10,60,2,0,0,0,9283,0,62,45,0,95,426,15,59,80,79,40,77,6,0,6,116736,-942
583000,29,6,68,-34,0,0,0,6145,0,66,46,0,95,509,15,61,70,112,22,71,6,0,8,138240,-937
603000,30,3,68,-10,0,0,0,9283,0,66,45,0,95,438,15,69,0,98,16,70,1,0,8,120832,-935
623000,31,10,66,35,0,0,0,12557,0,32,46,0,95,453,15,69,50,0,0,93,1,0,25,100352,-872
643000,32,3,72,20,0,0,0,12475,0,26,43,0,95,438,17,68,60,0,0,91,1,0,31,109568,-875
664000,33,9,61,52,0,0,0,14562,0,42,44,0,95,411,16,68,70,59,252,90,6,0,17,103424,-875
684000,34,7,60,22,0,0,0,13417,0,46,43,0,95,416,14,60,60,0,0,90,1,0,15,106496,-878
704000,35,3,56,31,0,0,0,12042,0,39,45,0,95,412,12,57,60,89,104,91,1,0,17,106496,-890
724000,36,4,62,4,0,0,0,11242,0,47,42,0,95,417,15,62,80,111,36,79,1,0,14,111616,-892
744000,37,4,53,13,0,0,0,11139,0,60,44,0,95,410,14,53,30,0,0,89,1,0,14,128000,-882
764000,38,3,65,25,0,0,0,6312,0,58,44,0,95,413,14,63,80,108,22,86,1,0,6,131072,-928
784000,39,7,66,24,0,0,0,7487,0,49,44,0,95,441,15,66,80,107,32,87,6,0,16,118784,-941
804000,40,11,62,52,0,0,0,14722,0,43,46,0,95,432,15,63,60,21,78,92,1,0,28,103424,-888
824000,41,3,68,50,0,0,0,12704,0,31,43,0,95,421,15,65,80,0,0,91,1,0,23,122880,-897
844000,42,3,61,23,0,0,0,12394,0,34,42,0,95,408,15,69,80,73,32,91,6,0,26,114688,-905
865000,43,3,61,38,0,0,0,12304,0,42,46,0,95,422,15,62,50,0,0,87,1,0,18,114688,-908
885000,44,4,59,38,0,0,0,12414,0,39,45,0,95,401,13,56,70,93,10,89,1,0,17,109568,-888
905000,45,4,56,28,0,0,0,14567,0,58,44,0,95,409,12,61,50,0,0,92,1,0,11,97280,-891
925000,46,4,54,27,0,0,0,15118,0,60,42,0,95,357,13,54,60,0,0,92,1,0,9,110592,-904
945000,47,3,63,18,0,0,0,8687,0,42,44,0,95,436,17,62,50,72,62,85,1,0,15,137216,-895
965000,48,9,67,54,0,0,0,8318,0,46,45,0,95,422,17,66,40,107,24,89,6,0,17,126976,-921
985000,49,3,67,7,0,0,0,10191,0,40,44,0,95,455,16,66,80,88,4,88,6,0,17,114688,-842
1005000,50,3,66,14,0,0,0,6788,0,40,46,0,95,488,14,67,50,103,20,82,6,0,19,129024,-925
1025000,51,3,65,36,0,0,0,6699,0,35,42,0,95,444,14,62,70,106,18,80,6,0,21,130048,-941
1045000,52,3,77,45,0,0,0,7326,0,39,44,0,95,463,16,70,90,97,22,83,6,0,20,114688,-959
1066000,53,8,89,44,0,0,0,6805,0,35,47,0,95,489,21,81,80,103,12,78,6,0,18,131072,-931
1086000,54,12,84,55,0,0,0,7329,0,43,45,0,95,459,17,85,100,102,10,85,6,0,32,123904,-927
1106000,55,0,0,0,0,0,0,8498,0,55,0,0,95,400,15,71,20,100,26,89,6,0,14,114688,-928
1126000,56,8,57,50,0,0,0,17710,0,63,45,0,95,385,13,57,80,0,0,87,6,0,9,71680,-905
1146000,57,17,61,48,0,0,0,17004,0,26,42,0,95,412,14,61,70,0,0,93,1,0,18,63488,-896
1166000,58,7,58,43,0,0,0,14831,0,25,45,0,95,404,13,60,70,0,0,92,1,0,24,97280,-933
1186000,59,3,60,69,0,0,0,11245,0,37,45,0,95,409,14,58,60,98,40,95,1,0,18,103424,-850
1206000,60,3,61,65,0,0,0,7700,0,39,46,0,95,421,13,62,70,103,40,88,1,0,19,117760,-928
1226000,61,3,63,49,0,0,0,12147,0,27,44,0,95,442,13,63,80,0,0,92,1,0,26,115712,-965
1246000,62,3,66,41,0,0,0,15283,0,20,45,0,95,438,14,66,70,0,0,90,1,0,27,98304,-970
1267000,63,3,68,39,0,0,0,13794,0,24,42,0,95,443,11,68,60,0,0,92,6,0,29,101376,-922
1287000,64,3,63,46,0,0,0,7707,0,32,43,0,95,418,10,65,50,108,14,93,6,0,24,133120,-938
1307000,65,3,63,43,0,0,0,7991,0,27,44,0,95,431,13,62,50,104,14,88,6,0,28,129024,-933
