# ts,sessionnum,HR,BR,ST,QTc,Cadence,Shock,QOS,FF QOS,Afib,Active Calories,Stress,Power
0,0,0,0,0,256,108,28,50,0,0,0,0,138240
20000,1,78,0,0,256,119,26,50,0,0,0,0,180224
40000,2,0,0,0,392,119,28,50,46,1,0,0,205824
60000,3,0,0,0,256,119,30,50,0,1,0,0,195584
80000,4,166,30,-250,480,128,42,84,84,1,0,0,175104
100000,5,86,37,-250,478,176,150,50,74,0,0,0,258048
120000,6,86,32,-250,450,174,142,50,83,0,0,0,261120
140000,7,87,0,0,256,171,156,50,0,5,0,0,261120
161000,8,85,0,0,256,170,150,50,0,5,0,0,261120
181000,9,164,35,-10,463,169,150,50,52,5,0,0,261120
201000,10,91,0,0,256,174,150,50,0,1,0,0,261120
221000,11,88,0,0,256,174,170,50,0,1,0,0,252928
241000,12,165,0,0,256,176,146,50,0,1,0,0,261120
261000,13,119,0,0,256,171,146,50,0,1,0,0,261120
281000,14,109,0,0,256,174,148,50,0,1,0,0,261120
301000,15,122,0,0,256,174,142,50,0,1,0,0,260096
321000,16,121,38,80,395,176,144,50,63,1,0,0,261120
341000,17,115,0,0,256,176,150,50,0,1,0,0,247808
362000,18,121,0,0,256,171,164,50,0,1,0,0,259072
382000,19,150,37,-50,478,174,136,50,65,1,0,0,252928
402000,20,169,34,0,420,176,150,50,55,1,0,0,261120
422000,21,128,0,0,256,173,156,50,0,1,0,0,261120
442000,22,117,37,0,360,174,154,50,63,1,0,0,261120
462000,23,136,30,0,378,173,166,50,56,1,0,0,259072
482000,24,126,33,0,450,176,144,50,66,1,0,0,251904
502000,25,124,33,-20,400,174,106,50,60,1,0,0,208896
522000,26,110,30,250,385,117,24,50,75,1,0,0,142336
542000,27,110,30,130,382,119,10,50,80,1,0,0,149504
563000,28,106,27,140,366,119,22,50,86,4,0,0,261120
583000,29,96,26,200,397,118,24,50,85,6,0,0,147456
603000,30,96,22,200,428,118,30,50,89,6,0,0,144384
623000,31,98,24,180,407,132,48,50,87,6,0,0,221184
643000,32,98,24,0,435,179,152,50,70,4,0,0,242688
663000,33,107,27,180,467,179,148,50,71,4,0,0,242688
683000,34,121,27,240,484,179,150,50,75,1,0,0,261120
703000,35,126,30,250,465,179,150,50,75,5,0,0,261120
723000,36,128,29,200,416,179,142,50,80,5,0,0,261120
743000,37,127,32,0,390,179,152,50,68,1,0,0,261120
764000,38,115,31,0,409,179,146,50,57,1,0,0,261120
784000,39,125,31,130,419,179,152,50,74,1,0,0,261120
804000,40,128,32,0,420,179,164,50,70,1,0,0,261120
824000,41,129,32,0,384,179,156,50,73,1,0,0,261120
844000,42,0,29,0,428,179,146,50,62,1,0,0,261120
864000,43,128,29,0,382,179,150,50,63,1,0,0,261120
884000,44,132,28,0,428,179,148,50,66,1,0,0,261120
904000,45,128,31,100,349,179,148,50,71,1,0,0,261120
924000,46,130,29,200,428,179,150,50,76,1,0,0,261120
944000,47,129,25,0,353,179,162,95,61,1,0,33,261120
965000,48,126,28,100,395,176,154,95,72,1,0,33,247808
985000,49,129,29,110,438,179,154,95,74,4,0,33,261120
1005000,50,131,29,100,403,176,146,95,75,5,0,88,261120
1025000,51,127,32,110,425,174,166,95,75,5,0,87,261120
1045000,52,127,29,150,413,174,154,95,75,5,0,100,261120
1065000,53,126,34,130,381,174,148,95,65,5,0,100,261120
1085000,54,124,31,80,412,174,152,95,81,5,0,85,245760
1105000,55,109,32,30,384,171,94,95,59,5,0,85,189440
1125000,56,88,31,140,376,125,24,95,88,1,0,65,148480
1145000,57,106,29,70,382,124,24,95,82,1,0,65,146432
1166000,58,104,30,150,406,121,34,95,87,5,0,65,153600
1186000,59,100,28,170,406,120,22,95,87,4,0,65,139264
1206000,60,98,24,210,402,119,16,95,85,4,0,65,126976
1226000,61,94,26,170,412,120,26,89,89,6,0,0,145408
1246000,62,94,27,130,415,119,24,95,86,4,0,65,149504
1266000,63,95,24,250,336,119,34,95,88,4,0,65,150528
1286000,64,92,25,150,417,118,36,95,91,6,0,65,156672
1306000,65,89,23,130,418,119,22,85,88,6,0,65,142336
1326000,66,88,22,180,413,118,20,95,85,6,0,65,157696
1346000,67,88,22,110,426,116,24,95,89,6,0,65,130048
1367000,68,45,19,250,298,109,16,86,86,6,0,0,140288
1387000,69,86,20,100,412,107,10,95,90,6,0,65,188416
