# ts,sessionnum,Breath Rate,Heart Rate,ST Change,Cadence,Body Power,Body Shock,Altitude,UGE,HRV,PEP,LVET,QOS,Device QTc,Device BR,Device HR,Device ST,Device Cadence,Device Shock,FF QOS,Device Afib,Device Calories,Device Stress,Device Power,ACCY values
0,0,3,64,-1,0,0,0,13303,0,42,48,0,95,511,25,60,0,194,68,69,1,0,15,141312,-498
20000,1,4,80,90,0,0,0,3777,0,34,47,0,50,437,17,64,140,101,22,73,1,0,0,200704,-974
40000,2,16,91,36,0,0,0,6000,0,42,48,0,95,471,20,88,40,99,22,87,6,0,22,131072,-975
60000,3,19,100,87,0,0,0,6118,0,7,49,0,95,454,23,98,0,94,12,66,6,0,67,126976,-973
80000,4,22,102,33,0,0,0,5740,0,6,49,0,95,462,21,102,80,94,2,81,5,0,88,141312,-972
101000,5,25,111,117,0,0,0,5351,0,6,48,0,95,464,22,108,90,93,10,87,1,0,88,140288,-972
121000,6,30,111,81,0,0,0,6903,0,6,50,0,95,458,23,111,120,92,16,80,1,0,88,146432,-971
141000,7,26,110,94,0,0,0,6677,0,6,49,0,95,441,23,111,70,96,20,77,5,0,88,147456,-959
161000,8,22,108,30,0,0,0,8409,0,6,50,0,95,436,21,109,100,94,2,77,5,0,88,135168,-963
181000,9,22,104,47,0,0,0,8408,0,8,49,0,95,430,21,108,60,91,10,76,5,0,92,131072,-968
201000,10,0,0,0,0,0,0,9304,0,45,0,0,95,421,24,103,110,89,12,75,5,0,26,125952,-957
221000,11,19,106,95,0,0,0,8348,0,45,48,0,85,416,22,109,70,85,14,76,1,0,26,120832,-963
241000,12,19,107,-17,0,0,0,3777,0,45,50,0,95,438,23,106,0,82,4,69,1,0,26,261120,-957
261000,13,22,105,95,0,0,0,8341,0,10,48,0,95,427,24,107,80,82,28,85,5,0,65,118784,-960
281000,14,26,110,41,0,0,0,7516,0,7,49,0,95,433,26,110,90,85,16,83,5,0,87,140288,-965
302000,15,23,111,122,0,0,0,7410,0,9,48,0,95,437,28,110,130,78,4,75,5,0,83,145408,-954
322000,16,28,111,67,0,0,0,6354,0,32,49,0,95,426,28,112,90,78,16,90,5,0,39,166912,-958
342000,17,22,110,90,0,0,0,6951,0,5,48,0,95,417,28,110,110,81,44,77,5,0,40,139264,-964
362000,18,19,116,76,0,0,0,8749,0,5,47,0,95,432,29,111,100,81,42,81,5,0,40,144384,-957
382000,19,23,113,93,0,0,0,6437,0,5,50,0,85,447,27,117,0,91,2,67,5,0,40,133120,-970
402000,20,29,118,117,0,0,0,6957,0,5,49,0,95,416,26,117,170,90,30,76,1,0,40,136192,-971
422000,21,22,119,137,0,0,0,7777,0,25,51,0,95,420,29,118,110,85,22,83,1,0,56,126976,-962
442000,22,16,109,64,0,0,0,5859,0,53,48,0,95,401,29,113,90,103,18,84,1,0,32,136192,-963
462000,23,24,103,166,0,0,0,3777,0,53,50,0,95,387,26,107,140,111,14,79,5,0,23,164864,-968
482000,24,16,101,70,0,0,0,5409,0,56,48,0,95,405,23,98,100,108,16,78,5,0,13,133120,-968
503000,25,16,99,107,0,0,0,4777,0,62,48,0,95,415,24,102,120,107,12,81,5,0,18,143360,-973
523000,26,19,103,73,0,0,0,4714,0,47,48,0,95,418,26,100,70,112,14,90,5,0,23,145408,-967
543000,27,17,102,122,0,0,0,5035,0,43,50,0,95,423,22,102,150,107,18,89,5,0,23,140288,-968
563000,28,16,101,59,0,0,0,4441,0,33,48,0,95,436,26,103,70,118,18,83,5,0,33,162816,-964
583000,29,16,103,88,0,0,0,3907,0,27,50,0,95,442,24,100,80,112,16,80,5,0,36,157696,-966
603000,30,21,98,70,0,0,0,5072,0,10,48,0,95,410,23,101,110,115,18,86,5,0,69,140288,-973
623000,31,25,101,100,0,0,0,4510,0,51,48,0,95,431,26,101,90,111,30,86,5,0,22,158720,-968
643000,32,16,99,85,0,0,0,4873,0,38,47,0,95,415,27,99,100,109,18,89,5,0,21,141312,-969
663000,33,24,103,86,0,0,0,4700,0,39,47,0,95,442,28,103,120,112,14,90,5,0,29,144384,-967
683000,34,23,99,100,0,0,0,4708,0,36,48,0,95,433,27,104,110,109,10,87,5,0,55,146432,-969
704000,35,0,0,0,0,0,0,3777,0,39,0,0,95,420,28,98,110,106,6,92,5,0,31,212992,-974
