# ts,sessionnum,Breath Rate,Heart Rate,ST Change,Cadence,Body Power,Body Shock,Altitude,UGE,HRV,PEP,LVET,QOS,Device QTc,Device BR,Device HR,Device ST,Device Cadence,Device Shock,FF QOS,Device Afib,Device Calories,Device Stress,Device Power,ACCY values
0,0,4,50,37,0,0,0,18544,0,23,48,0,95,410,24,50,70,0,0,91,6,0,27,111616,126
20000,1,7,46,34,0,0,0,18078,0,66,44,0,95,396,23,46,80,0,0,91,1,0,7,131072,131
40000,2,3,48,31,0,0,0,20429,0,84,45,0,95,403,24,46,60,0,0,85,3,0,2,141312,130
60000,3,3,51,30,0,0,0,15172,0,67,43,0,95,414,15,50,60,0,0,91,3,0,7,142336,132
81000,4,4,49,21,0,0,0,20541,0,31,47,0,95,413,13,50,60,0,0,91,1,0,18,134144,130
101000,5,8,49,20,0,0,0,17534,0,36,49,0,95,405,13,49,50,0,0,92,3,0,15,140288,129
121000,6,4,48,16,0,0,0,20518,0,41,49,0,95,415,14,48,50,0,0,92,3,0,14,141312,129
141000,7,4,49,19,0,0,0,18301,0,83,46,0,95,414,13,50,60,0,0,89,3,0,3,129024,129
161000,8,9,49,18,0,0,0,20483,0,82,45,0,95,412,14,49,60,0,0,92,3,0,3,133120,128
181000,9,4,49,15,0,0,0,15250,0,40,44,0,95,413,15,50,60,0,0,91,3,0,15,134144,128
201000,10,4,50,18,0,0,0,20427,0,38,47,0,95,417,14,50,50,0,0,86,3,0,14,125952,127
221000,11,9,49,12,0,0,0,17538,0,38,45,0,95,412,13,49,40,0,0,92,3,0,15,126976,126
241000,12,14,50,14,0,0,0,20499,0,39,46,0,95,418,13,50,40,0,0,91,3,0,15,129024,126
261000,13,7,50,8,0,0,0,18439,0,38,45,0,95,419,14,51,40,0,0,92,3,0,16,114688,125
282000,14,11,50,9,0,0,0,20602,0,31,44,0,95,415,13,50,50,0,0,91,3,0,19,118784,125
302000,15,0,49,10,0,0,0,15350,0,33,46,0,95,411,14,49,40,0,0,85,3,0,17,128000,125
322000,16,3,49,19,0,0,0,20432,0,42,43,0,95,413,12,49,50,0,0,91,3,0,13,121856,127
342000,17,7,50,10,0,0,0,17406,0,59,48,0,95,419,13,51,50,0,0,92,1,0,8,126976,128
362000,18,11,50,11,0,0,0,20608,0,42,48,0,95,417,15,50,40,0,0,92,1,0,9,116736,127
382000,19,4,49,4,0,0,0,18540,0,52,45,0,95,414,14,50,40,0,0,91,3,0,13,114688,126
402000,20,3,53,10,0,0,0,20491,0,52,45,0,95,421,14,52,40,0,0,92,3,0,11,123904,125
422000,21,9,56,8,0,0,0,15374,0,41,44,0,95,432,15,57,30,0,0,92,3,0,16,122880,126
442000,22,12,56,8,0,0,0,20486,0,31,46,0,95,424,14,56,40,0,0,92,1,0,22,139264,124
462000,23,18,51,18,0,0,0,17258,0,32,44,0,95,415,13,53,50,0,0,92,1,0,18,133120,124
483000,24,14,50,10,0,0,0,20407,0,55,46,0,95,418,13,50,60,0,0,91,1,0,11,125952,126
503000,25,11,49,7,0,0,0,18552,0,52,45,0,95,413,13,50,30,0,0,92,3,0,10,117760,125
523000,26,0,49,13,0,0,0,20590,0,66,45,0,95,414,12,49,30,0,0,89,3,0,6,114688,124
543000,27,7,50,11,0,0,0,15511,0,69,43,0,95,417,13,50,50,0,0,91,3,0,5,116736,125
563000,28,3,50,11,0,0,0,20575,0,53,43,0,95,411,14,50,30,0,0,91,3,0,10,114688,124
583000,29,8,51,12,0,0,0,17190,0,56,46,0,95,411,14,51,40,0,0,91,3,0,9,115712,123
603000,30,4,49,12,0,0,0,20559,0,58,45,0,95,406,14,50,50,0,0,91,3,0,9,122880,124
623000,31,4,51,12,0,0,0,18781,0,54,46,0,95,420,13,51,50,0,0,91,3,0,10,105472,123
643000,32,3,50,13,0,0,0,20510,0,50,45,0,95,419,14,51,50,0,0,92,1,0,11,125952,123
663000,33,4,49,4,0,0,0,15562,0,53,46,0,95,420,15,49,60,0,0,90,1,0,10,124928,124
684000,34,4,50,12,0,0,0,20492,0,52,45,0,95,410,13,49,40,0,0,91,6,0,8,115712,123
704000,35,7,50,6,0,0,0,17086,0,54,44,0,95,418,13,50,30,0,0,91,1,0,10,133120,124
724000,36,10,49,12,0,0,0,20609,0,59,44,0,95,416,12,51,50,0,0,91,1,0,8,107520,124
744000,37,4,49,12,0,0,0,18969,0,48,47,0,95,422,12,49,50,0,0,92,3,0,12,113664,124
764000,38,4,50,9,0,0,0,20673,0,45,45,0,95,426,14,51,40,0,0,91,1,0,12,111616,124
784000,39,4,49,12,0,0,0,15675,0,49,42,0,95,421,14,49,40,0,0,92,1,0,10,115712,125
804000,40,10,49,9,0,0,0,20655,0,56,45,0,95,428,13,48,40,0,0,91,3,0,9,117760,124
824000,41,7,51,-3,0,0,0,17002,0,53,45,0,95,430,15,51,30,0,0,90,1,0,11,120832,123
844000,42,7,51,12,0,0,0,19783,0,47,47,0,95,420,14,51,30,0,0,91,1,0,12,95232,131
864000,43,14,50,6,0,0,0,19106,0,48,44,0,95,420,13,51,40,0,0,91,1,0,11,53248,135
885000,44,15,47,7,0,0,0,20576,0,47,44,0,95,413,12,48,30,0,0,91,3,0,11,47104,134
905000,45,11,49,9,0,0,0,15747,0,55,45,0,95,428,12,49,50,0,0,86,3,0,9,60416,135
925000,46,14,50,4,0,0,0,20624,0,51,43,0,95,416,13,49,40,0,0,92,3,0,10,49152,133
945000,47,11,48,-10,0,0,0,16953,0,53,45,0,95,423,13,49,50,0,0,87,1,0,6,61440,133
965000,48,13,49,11,0,0,0,20583,0,66,45,0,95,412,12,49,40,0,0,91,1,0,6,47104,133
985000,49,14,48,11,0,0,0,19141,0,62,46,0,95,425,11,49,50,0,0,91,3,0,11,47104,133
1005000,50,11,49,7,0,0,0,20611,0,43,46,0,95,422,12,49,40,0,0,86,3,0,13,59392,132
1025000,51,13,49,9,0,0,0,15801,0,43,45,0,95,426,11,49,30,0,0,92,3,0,12,54272,133
1045000,52,8,49,12,0,0,0,20499,0,70,44,0,95,425,11,49,40,0,0,92,3,0,5,52224,132
1065000,53,11,49,6,0,0,0,16887,0,67,46,0,95,431,13,49,40,0,0,92,3,0,6,52224,131
1086000,54,3,46,3,0,0,0,20515,0,49,42,0,95,408,14,47,30,0,0,91,3,0,10,52224,133
1106000,55,10,48,6,0,0,0,19344,0,56,44,0,95,420,12,47,40,0,0,91,3,0,8,51200,132
1126000,56,10,48,7,0,0,0,20535,0,55,46,0,95,430,13,48,30,0,0,92,3,0,9,47104,132
1146000,57,4,49,6,0,0,0,15831,0,55,45,0,95,428,12,48,40,0,0,91,3,0,9,69632,133
1166000,58,4,49,6,0,0,0,20561,0,54,43,0,95,428,14,49,30,0,0,91,3,0,7,50176,132
1186000,59,3,48,4,0,0,0,16806,0,69,46,0,95,421,14,48,40,0,0,91,3,0,6,64512,131
1206000,60,3,48,9,0,0,0,20655,0,64,46,0,95,418,14,49,50,0,0,92,3,0,8,55296,131
1226000,61,7,49,8,0,0,0,19524,0,50,42,0,95,425,14,48,40,0,0,91,3,0,10,51200,131
1246000,62,4,49,0,0,0,0,20553,0,61,43,0,95,430,13,48,40,0,0,91,3,0,8,60416,131
1266000,63,7,47,6,0,0,0,15952,0,59,43,0,95,414,12,47,40,0,0,85,3,0,7,54272,132
1287000,64,3,48,8,0,0,0,20478,0,62,44,0,95,420,11,48,50,0,0,91,3,0,7,56320,131
1307000,65,4,49,5,0,0,0,16713,0,57,46,0,95,425,13,50,30,0,0,86,3,0,8,65536,130
1327000,66,4,47,5,0,0,0,20637,0,56,44,0,95,426,13,48,40,0,0,91,3,0,9,59392,131
1347000,67,4,50,4,0,0,0,19661,0,60,42,0,95,431,13,49,30,0,0,92,3,0,8,47104,131
1367000,68,7,47,4,0,0,0,20608,0,56,43,0,95,423,13,47,40,0,0,92,3,0,8,59392,130
1387000,69,3,49,8,0,0,0,15999,0,56,47,0,95,436,12,47,50,0,0,91,3,0,8,64512,131
1407000,70,10,48,2,0,0,0,20595,0,54,46,0,95,429,12,50,40,0,0,91,3,0,9,60416,130
1427000,71,4,49,11,0,0,0,16542,0,61,43,0,95,423,12,48,50,0,0,91,3,0,10,52224,130
1447000,72,11,49,5,0,0,0,20510,0,58,43,0,95,433,12,49,20,0,0,91,3,0,8,58368,130
1467000,73,0,49,2,0,0,0,19864,0,46,43,0,95,428,13,50,30,0,0,85,3,0,11,48128,130
1488000,74,12,48,6,0,0,0,20583,0,54,44,0,95,430,12,48,40,0,0,92,3,0,9,61440,129
1508000,75,0,49,7,0,0,0,16139,0,58,43,0,95,428,11,48,40,0,0,91,3,0,9,58368,131
1528000,76,13,47,8,0,0,0,20646,0,49,46,0,95,426,11,48,50,0,0,92,3,0,11,50176,129
1548000,77,8,53,10,0,0,0,15793,0,57,45,0,95,437,12,48,40,0,0,92,3,0,8,54272,130
1568000,78,3,52,5,0,0,0,20470,0,61,43,0,95,447,12,53,50,0,0,91,3,0,8,46080,130
1588000,79,3,47,0,0,0,0,20323,0,51,46,0,95,419,12,48,40,0,0,92,1,0,11,47104,130
1608000,80,3,48,2,0,0,0,20561,0,56,45,0,95,433,12,47,40,0,0,91,3,0,8,56320,130
1628000,81,3,52,11,0,0,0,14895,0,59,46,0,95,424,13,47,40,0,0,90,3,0,8,83968,142
1648000,82,4,50,3,0,0,0,20500,0,54,43,0,95,423,13,54,40,0,0,92,6,0,9,113664,154
1668000,83,7,46,4,0,0,0,16340,0,51,47,0,95,434,12,47,40,0,0,91,3,0,10,110592,152
1689000,84,3,47,4,0,0,0,20576,0,64,44,0,95,410,11,48,40,0,0,90,3,0,4,98304,151
1709000,85,3,47,6,0,0,0,20338,0,73,43,0,95,419,12,47,30,0,0,92,3,0,5,99328,150
1729000,86,3,48,10,0,0,0,20678,0,67,45,0,95,421,11,48,40,0,0,92,3,0,8,91136,150
1749000,87,4,48,11,0,0,0,16394,0,54,46,0,95,430,11,49,40,0,0,90,3,0,9,104448,151
1769000,88,11,47,5,0,0,0,20575,0,49,42,0,95,417,11,47,40,0,0,85,3,0,11,93184,150
1789000,89,3,53,12,0,0,0,16344,0,46,46,0,95,442,12,50,40,0,0,92,3,0,13,106496,150
1809000,90,3,51,3,0,0,0,20622,0,54,49,0,95,436,11,53,40,0,0,93,3,0,11,105472,151
1829000,91,3,48,19,0,0,0,20171,0,53,42,0,95,425,11,48,30,0,0,90,1,0,7,100352,150
1849000,92,7,48,6,0,0,0,20670,0,62,45,0,95,427,12,48,30,0,0,91,3,0,7,105472,150
1869000,93,3,50,4,0,0,0,16482,0,62,44,0,95,432,12,51,30,0,0,91,3,0,10,97280,151
1890000,94,7,51,8,0,0,0,20505,0,51,45,0,95,427,12,48,40,0,0,92,3,0,13,103424,150
1910000,95,4,51,4,0,0,0,16192,0,69,45,0,95,436,12,53,30,0,0,89,1,0,6,102400,150
1930000,96,9,46,4,0,0,0,20662,0,64,46,0,95,425,12,48,40,0,0,90,1,0,7,103424,150
1950000,97,3,44,4,0,0,0,19988,0,68,44,0,95,414,12,44,20,0,0,91,3,0,5,96256,150
1970000,98,4,47,15,0,0,0,20464,0,75,43,0,95,420,13,46,40,0,0,86,3,0,5,104448,150
1990000,99,10,49,11,0,0,0,16547,0,103,43,0,95,433,12,48,40,0,0,91,3,0,0,103424,151
2010000,100,10,50,-3,0,0,0,20652,0,95,43,0,95,433,12,50,40,0,0,91,6,0,0,101376,151
2030000,101,13,50,5,0,0,0,16132,0,38,42,0,95,423,11,50,30,0,0,92,1,0,14,102400,149
2050000,102,7,48,4,0,0,0,20586,0,54,46,0,95,425,12,50,50,0,0,91,1,0,10,106496,150
2070000,103,10,46,1,0,0,0,19962,0,57,43,0,95,413,11,48,30,0,0,92,3,0,9,106496,150
2091000,104,3,56,26,0,0,0,15164,128,55,44,0,95,459,13,49,30,0,0,91,1,0,8,97280,146
