# ts,sessionnum,HR,BR,ST,QTc,Cadence,Shock,QOS,FF QOS,Afib,Active Calories,Stress,Power
0,0,0,19,0,499,20,142,50,49,1,0,0,148480
20000,1,47,25,40,391,0,0,50,89,1,0,0,108544
40000,2,46,24,50,406,0,0,50,89,1,0,0,110592
60000,3,46,11,40,415,0,0,95,90,1,0,8,104448
81000,4,45,12,50,415,0,0,95,91,1,0,11,95232
101000,5,44,12,50,411,0,0,95,91,1,0,11,109568
121000,6,46,11,40,426,0,0,95,91,1,0,11,87040
141000,7,46,12,40,419,0,0,95,86,1,0,13,117760
161000,8,46,11,40,431,0,0,95,91,1,0,13,113664
181000,9,47,11,40,452,0,0,95,91,1,0,13,94208
201000,10,46,10,30,424,0,0,95,91,1,0,13,98304
221000,11,46,10,30,449,0,0,95,90,1,0,13,94208
241000,12,46,12,30,433,0,0,95,91,1,0,14,98304
261000,13,46,15,30,437,0,0,95,91,1,0,11,90112
282000,14,45,14,30,451,0,0,95,91,1,0,8,82944
302000,15,46,13,30,446,0,0,95,84,1,0,9,91136
322000,16,45,13,20,437,0,0,95,86,1,0,9,91136
342000,17,46,12,20,448,0,0,95,80,1,0,6,92160
362000,18,50,11,40,455,0,0,95,89,3,0,6,54272
382000,19,44,11,20,435,0,0,95,91,3,0,8,62464
402000,20,45,13,20,431,0,0,95,87,1,0,7,64512
422000,21,43,13,30,427,0,0,95,85,1,0,3,62464
442000,22,45,13,30,431,0,0,95,90,1,0,5,71680
462000,23,46,12,40,440,0,0,95,90,1,0,8,70656
483000,24,47,12,30,445,0,0,95,91,1,0,7,62464
503000,25,47,12,20,432,0,0,95,85,1,0,6,68608
523000,26,46,12,30,446,0,0,95,85,1,0,7,66560
543000,27,48,12,30,441,0,0,95,91,1,0,8,68608
563000,28,44,12,30,451,0,0,95,90,1,0,7,71680
583000,29,47,13,30,445,0,0,95,90,1,0,8,74752
603000,30,46,12,30,458,0,0,95,84,1,0,9,68608
623000,31,47,12,30,453,0,0,95,90,1,0,3,76800
643000,32,45,13,20,446,0,0,95,91,1,0,3,64512
663000,33,45,12,20,430,0,0,95,90,1,0,9,79872
684000,34,45,11,20,438,0,0,95,91,1,0,8,81920
704000,35,46,12,20,452,0,0,95,91,1,0,7,73728
724000,36,46,13,20,437,0,0,95,91,1,0,10,73728
744000,37,45,12,20,453,0,0,95,86,1,0,9,73728
764000,38,47,13,30,441,0,0,95,88,1,0,1,71680
784000,39,46,13,10,434,0,0,95,91,1,0,0,84992
804000,40,46,13,30,445,0,0,95,93,1,0,4,83968
824000,41,46,12,30,441,0,0,95,92,1,0,8,75776
844000,42,46,11,30,445,0,0,95,88,1,0,8,80896
864000,43,45,11,20,440,0,0,95,92,1,0,4,77824
885000,44,50,12,40,490,0,0,95,87,1,0,0,108544
905000,45,62,14,30,496,0,0,95,85,6,0,3,144384
925000,46,65,12,40,442,0,0,95,84,6,0,16,100352
945000,47,49,11,20,438,0,0,95,87,6,0,5,93184
965000,48,48,9,30,440,0,0,95,84,6,0,0,67584
985000,49,46,8,40,422,0,0,95,88,6,0,0,30720
1005000,50,46,11,20,421,0,0,95,85,6,0,0,46080
1025000,51,46,11,20,410,0,0,95,91,6,0,0,34816
1045000,52,46,11,30,430,0,0,95,86,6,0,1,51200
1065000,53,47,11,10,427,0,0,95,86,6,0,4,37888
1086000,54,47,11,20,442,0,0,95,82,6,0,4,72704
1106000,55,45,10,10,428,0,0,95,84,6,0,0,75776
1126000,56,46,11,20,423,0,0,95,85,6,0,0,65536
1146000,57,47,11,30,458,44,2,95,75,1,0,3,141312
1166000,58,74,17,40,511,94,22,95,76,1,0,10,132096
1186000,59,67,12,40,496,84,32,95,80,1,0,20,103424
1206000,60,69,13,0,460,146,38,95,68,1,0,34,105472
1226000,61,63,13,40,423,0,0,95,90,1,0,22,74752
1246000,62,47,13,30,410,0,0,95,91,1,0,10,46080
1266000,63,47,12,30,428,0,0,95,92,1,0,7,58368
1287000,64,48,12,30,419,0,0,95,87,1,0,8,47104
1307000,65,44,11,20,412,0,0,95,88,3,0,1,52224
1327000,66,45,12,20,436,0,0,95,83,3,0,0,75776
1347000,67,46,12,30,413,0,0,95,87,3,0,0,59392
1367000,68,45,11,30,418,0,0,95,90,6,0,5,46080
1387000,69,44,11,30,416,0,0,95,90,1,0,7,52224
1407000,70,46,11,30,437,0,0,95,90,1,0,5,59392
1427000,71,45,12,30,441,0,0,95,91,1,0,6,57344
1447000,72,47,11,20,441,0,0,95,91,1,0,10,63488
1467000,73,47,11,30,448,0,0,95,89,1,0,13,77824
1488000,74,48,12,30,441,0,0,95,88,1,0,12,78848
1508000,75,47,12,20,433,0,0,95,87,6,0,9,88064
1528000,76,46,13,20,431,0,0,95,87,6,0,5,91136
1548000,77,46,12,30,442,0,0,95,91,1,0,3,89088
1568000,78,47,14,30,453,0,0,95,83,6,0,3,114688
1588000,79,48,12,20,432,0,0,95,80,6,0,3,106496
1608000,80,46,11,20,434,0,0,95,84,6,0,4,115712
1628000,81,44,11,20,420,0,0,95,91,3,0,7,122880
1648000,82,46,12,30,434,0,0,95,90,3,0,13,119808
1668000,83,48,15,30,461,0,0,95,85,1,0,9,119808
1689000,84,50,12,20,444,0,0,95,83,6,0,5,136192
